landscape_unit_id,watersystem_code,watersystem_name,unit_basin_code,gsi_landform_class,available_area_m2,available_area_km2,available_share_known,available_share_basin,landform_coverage_ratio,resolution_m,source,selection_inference_ready
B_830303_388_LF_CLASS::旧河道,830303,,388,旧河道,193800.0,0.1938,0.03919902912621359,0.0375566838494632,0.9581023991318166,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_830303_388_LF_CLASS::水部,830303,,388,水部,371700.0,0.3717,0.07518203883495146,0.0720320917793884,0.9581023991318166,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_830303_389_LF_CLASS::自然堤防,830303,,389,自然堤防,275900.0,0.2759,0.10168054838947446,0.09862024592507863,0.9699027738061196,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_830303_389_LF_CLASS::砂州・砂丘,830303,,389,砂州・砂丘,6400.0,0.0064,0.002358664406279944,0.002287675150128682,0.9699027738061196,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_830303_389_LF_CLASS::氾濫平野・海岸平野,830303,,389,氾濫平野・海岸平野,2270500.0,2.2705,0.8367730522591582,0.8115885044323706,0.9699027738061196,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_830303_389_LF_CLASS::水部,830303,,389,水部,160600.0,0.1606,0.05918773494508735,0.057406348298541604,0.9699027738061196,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_830303_390_LF_CLASS::自然堤防,830303,,390,自然堤防,1708500.0,1.7085,0.26172676858972393,0.2497989619124205,0.9544264931647051,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_830303_390_LF_CLASS::氾濫平野・海岸平野,830303,,390,氾濫平野・海岸平野,4297400.0,4.2974,0.6583228652838629,0.6283207836830178,0.9544264931647051,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_830303_390_LF_CLASS::旧河道,830303,,390,旧河道,121700.0,0.1217,0.018643340788627102,0.017793698369763872,0.9544264931647051,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_830303_390_LF_CLASS::水部,830303,,390,水部,400000.0,0.4,0.061276387144213976,0.05848380729585496,0.9544264931647051,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_830303_390_LF_CLASS::旧水部,830303,,390,旧水部,200.0,0.0002,3.0638193572106986e-05,2.924190364792748e-05,0.9544264931647051,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_830303_391_LF_CLASS::自然堤防,830303,,391,自然堤防,1062900.0,1.0629,0.32129254579529654,0.30078102892070857,0.9361593751768634,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_830303_391_LF_CLASS::氾濫平野・海岸平野,830303,,391,氾濫平野・海岸平野,1555600.0,1.5556,0.4702255002720513,0.44020601052691155,0.9361593751768634,10.0,GSI_natural_landform_GeoJSON_rasterized,True
B_830303_391_LF_CLASS::旧河道,830303,,391,旧河道,233700.0,0.2337,0.07064264554742761,0.06613277491652046,0.9361593751768634,10.0,GSI_natural_landform_GeoJSON_rasterized,True
