fid,JASID,SiteName,Lon,Lat,P,J,Y,K,N,H,M,Alt,属性1
"183","11207001704",大野原古墳群４号墳,139.1029964,36.03598642,"0","0","0","1","0","0","0",190.399993896484,台地段丘
"184","11207001705",大野原古墳群５号墳,139.1032022,36.03498971,"0","0","0","1","0","0","0",190.199996948242,台地段丘
"185","11207001706",大野原古墳群６号墳,139.1038289,36.03511833,"0","0","0","1","0","0","0",190.100006103516,台地段丘
"186","11207001707",大野原古墳群７号墳,139.1036825,36.03490656,"0","0","0","1","0","0","0",190,台地段丘
"187","11207001708",大野原古墳群８号墳,139.1035112,36.03440668,"0","0","0","1","0","0","0",190,台地段丘
"188","11207001709",大野原古墳群９号墳,139.1014444,36.03337666,"0","0","0","1","0","0","0",194.100006103516,台地段丘
"189","11207001710",大野原古墳群１０号墳,139.1010651,36.03326512,"0","0","0","1","0","0","0",194.800003051758,台地段丘
"190","11207001711",大野原古墳群２３号墳,139.1017148,36.02595995,"0","0","0","1","0","0","0",203,台地段丘
"191","11207001800",蓼沼遺跡,139.1009602,36.0312204,"0","1","0","0","0","0","0",194.5,台地段丘
"192","11207001901",大野原古墳群,139.1033876,36.03003729,"0","0","0","1","0","0","0",182.199996948242,台地段丘
"193","11207001902",大野原古墳群,139.1037388,36.02979632,"0","0","0","1","0","0","0",183.199996948242,台地段丘
"194","11207001903",大野原古墳群,139.104155,36.02987267,"0","0","0","1","0","0","0",180.199996948242,台地段丘
"195","11207001904",大野原古墳群,139.1035542,36.03013644,"0","0","0","1","0","0","0",180.5,台地段丘
"196","11207002001",大野原古墳群,139.11073,36.02869219,"0","0","0","1","0","0","0",185.199996948242,台地段丘
"197","11207002002",大野原古墳群,139.1107254,36.02906923,"0","0","0","1","0","0","0",186.899993896484,台地段丘
"198","11207002003",大野原古墳群,139.109664,36.02935953,"0","0","0","1","0","0","0",184.399993896484,台地段丘
"199","11207002004",大野原古墳群,139.1096297,36.02949836,"0","0","0","1","0","0","0",182.300003051758,台地段丘
"200","11207002005",大野原古墳群,139.1094495,36.02938036,"0","0","0","1","0","0","0",183.100006103516,台地段丘
"201","11207002006",大野原古墳群,139.1092349,36.02938036,"0","0","0","1","0","0","0",181,台地段丘
"202","11207002007",大野原古墳群,139.1091718,36.02925317,"0","0","0","1","0","0","0",180.5,台地段丘
"203","11207002100",木戸原遺跡,139.1127761,36.02498108,"0","1","0","0","0","0","0",205.100006103516,台地段丘
"204","11207002200",辻原遺跡,139.1129478,36.0234539,"0","1","0","0","0","0","0",205.800003051758,丘陵地
"205","11207002300",,139.0805447,36.02343495,"0","0","0","1","1","1","0",218.600006103516,丘陵地
"206","11207002400",,139.08404,36.02156572,"0","1","0","0","0","0","0",204.5,丘陵地
"207","11207002500",,139.0887379,36.02014162,"0","1","0","0","0","0","0",190.199996948242,丘陵地
